Y,MOE,Participant,EAR,MAR,Circularity,EAR_N,MAR_N,Circularity_N,MOE_N
0,2.5341447996450084,1,0.312688029,0.7923967431033736,0.432896445,-0.999551437,0.802437149,-0.948848174,0.877172021
0,2.3799469810412828,1,0.321939638,0.7661992684253854,0.48692349,-0.000896522,0.317857894,1.044305967,0.211742317
0,2.078550127703292,1,0.331216162,0.6884493962493499,0.456028705,1.00044796,-1.120295042,-0.095457793,-1.088914338
0,2.509766754015105,1,0.309246418,0.7761363790263162,0.452654997,-1.371052444,0.50166636,-0.219919936,0.771970302
0,3.58682101064424,1,0.204690721,0.734188979247898,0.361123353,-12.65720474,-0.274242004,-3.596685712,5.419921239
0,2.3434541429357725,1,0.322248986,0.7551757201287358,0.469809689,0.032495711,0.1139534,0.412947285,0.054260073
0,2.161183560582508,1,0.348219842,0.7525669983851373,0.45633094,2.835891913,0.065699419,-0.084307814,-0.732315644
0,2.622206040403933,1,0.284539605,0.7461214698066408,0.386477058,-4.038002872,-0.053524647,-2.661342272,1.257194034
0,2.461622941810364,1,0.296542139,0.7299749328250027,0.411542377,-2.742402185,-0.352189955,-1.736637892,0.564209109
0,2.217610313967443,1,0.351581536,0.7796708394041681,0.495261989,3.198766288,0.56704389,1.35192809,-0.488810008
0,2.1633156183784203,1,0.333525086,0.7215200279697487,0.453353377,1.249682272,-0.508581804,-0.19415544,-0.7231149
0,2.1813581331947107,1,0.332820118,0.7259998707123632,0.517329198,1.173585215,-0.425717372,2.166026818,-0.645253713
0,2.1517754192925382,1,0.337904735,0.7270951035186934,0.447811107,1.722438793,-0.40545866,-0.39861968,-0.772915808
0,2.333451919822505,1,0.340539581,0.7946327396380227,0.476608989,2.006854404,0.843796766,0.663785621,0.011096192
0,2.568477426647944,1,0.284080143,0.7296534351826424,0.429299821,-4.087598933,-0.358136753,-1.081534057,1.025332028
0,2.810203010981005,1,0.243687224,0.6848105703341466,0.42215496,-8.44776918,-1.187603039,-1.345120751,2.068481572
0,2.490851597751516,1,0.281334808,0.7007632548798457,0.444680009,-4.38394124,-0.892523453,-0.514131453,0.690343292
0,2.37238072233082,1,0.287496374,0.6820508559966375,0.437234089,-3.718837547,-1.238649957,-0.788824733,0.179090666
0,2.1990240827739407,1,0.316858527,0.6967795324935613,0.466449063,-0.549371497,-0.96621106,0.288967798,-0.569017565
0,2.146928657656036,1,0.321745731,0.690765130116602,0.477677011,-0.021827567,-1.077460509,0.703186854,-0.793831662
0,2.418472402294657,1,0.291892745,0.7059345488900591,0.437249421,-3.244276002,-0.796869127,-0.788259115,0.377996029
0,2.0896304783709327,1,0.340772038,0.7120876371739806,0.502496495,2.031946719,-0.68305438,1.618821937,-1.041097874
0,2.170156424889178,1,0.315681793,0.6850788702387358,0.501114233,-0.676392875,-1.182640249,1.56782782,-0.693593887
0,2.1044684723458733,1,0.331095258,0.6967795324935613,0.480468092,0.987397121,-0.96621106,0.806154834,-0.977065568
0,2.164940374651981,1,0.338466623,0.7327600583544394,0.512235612,1.783091192,-0.300673003,1.978115349,-0.71610338
0,2.3047488390746445,1,0.3231895,0.7448706252582113,0.482280796,0.134018553,-0.076661736,0.87302872,-0.112769909
0,2.6610919747568342,1,0.272908417,0.7262343985639291,0.440565826,-5.293518898,-0.421379269,-0.66591103,1.425003514
0,2.052680048603654,1,0.354946756,0.7285921252219499,0.49530994,3.562021439,-0.377767988,1.353697074,-1.200554822
0,2.161688909390251,1,0.323518473,0.6993462941098916,0.503393414,0.169529127,-0.918733223,1.651910892,-0.730134847
0,2.240678613819002,1,0.320648841,0.7184710005227021,0.475032429,-0.140230169,-0.564980196,0.605623485,-0.389260403
0,2.3795417638626364,1,0.313160114,0.7451775709551833,0.459252255,-0.948592709,-0.070984108,0.023464726,0.209993631
0,2.3623958752122545,1,0.311932922,0.736909047949431,0.438403634,-1.081060687,-0.223928419,-0.745678147,0.13600177
0,2.2175788521699817,1,0.321082562,0.7120258986801568,0.492129183,-0.093412649,-0.684196368,1.236353289,-0.488945779
0,2.2392946234581848,1,0.320249674,0.7171333726589946,0.470838669,-0.183317843,-0.589722532,0.450908202,-0.395232915
0,2.9607819006292635,1,0.257469155,0.7623100129394808,0.406934547,-6.960093487,0.245917657,-1.906628963,2.718294046
0,2.314486469542524,1,0.335541677,0.7766066724582473,0.465736338,1.467361054,0.51036546,0.26267412,-0.070747858
0,2.4510872112285806,1,0.295845826,0.7251439194176462,0.465008889,-2.817565006,-0.441550052,0.2358372,0.518742914
0,2.192437341268497,1,0.348775811,0.7646691109515374,0.500057592,2.89590533,0.289554304,1.528846434,-0.597442179
0,2.562566910654533,1,0.278191306,0.7128838351132737,0.403883591,-4.723263154,-0.668326968,-2.019184182,0.999825617
0,3.136548136125626,1,0.226299238,0.7097984542870016,0.380377052,-10.32469658,-0.725397795,-2.886382385,3.476800717
0,2.2912414272993167,1,0.32003109,0.7332684925759486,0.47157016,-0.20691258,-0.291268406,0.477894217,-0.171060183
0,2.5748014685313354,1,0.275292803,0.7088243129399456,0.420033632,-5.036138945,-0.743416657,-1.423380334,1.05262298
0,2.945115154097592,1,0.269834591,0.7946939420547142,0.385937867,-5.625319787,0.844928838,-2.681233971,2.650685317
0,2.697770588776277,1,0.285809739,0.7710491090874403,0.428828975,-3.900899526,0.407566242,-1.098904399,1.583287461
0,3.1052730400239046,1,0.25370291,0.7878168075322257,0.392243385,-7.36663668,0.717721282,-2.448612173,3.341835267
0,2.74192045945898,1,0.278265313,0.7629813552945466,0.406520127,-4.715274512,0.258335594,-1.921917641,1.773813084
0,2.443432891864379,1,0.318716335,0.7787619772278389,0.492420935,-0.3488324,0.550232508,1.24711653,0.485711244
0,2.629675816003807,1,0.299381579,0.7872764968743589,0.452879112,-2.435901946,0.707727062,-0.211651917,1.289429319
0,2.746021488574891,1,0.294398876,0.8084256386757045,0.439477971,-2.973754457,1.098926424,-0.706043932,1.791510783
0,3.0380526173912505,1,0.261331798,0.7939397540695153,0.382091487,-6.543144558,0.830978491,-2.823133814,3.051750321
0,2.6116598104277253,1,0.306716272,0.8010385598736705,0.43520355,-1.644166385,0.96228634,-0.863734964,1.21168253
0,2.6634643575247425,1,0.305526089,0.8137578478038694,0.443539645,-1.772639394,1.197557225,-0.556201528,1.435241363
0,2.560153547481387,1,0.310599339,0.7951819983377072,0.436430011,-1.225012908,0.8539565,-0.818488634,0.98941092
0,3.1846915601086807,1,0.247617057,0.7885839507755205,0.360910582,-8.023567598,0.731911264,-3.604535196,3.684560235
0,2.928151369357951,1,0.266999792,0.7818158063483877,0.399603451,-5.931319089,0.606719717,-2.177086188,2.577479312
0,2.635245998553268,1,0.301308423,0.7940218166510331,0.43968858,-2.227910769,0.832496417,-0.698274197,1.313467045
0,2.5428916970348614,1,0.318952613,0.8110619509117277,0.461088919,-0.323327693,1.14769075,0.09122253,0.914918634
0,2.580480442762343,1,0.305753763,0.7889916055670646,0.429546288,-1.748063353,0.739451726,-1.072441439,1.077130189
0,2.6146675568816145,1,0.293832125,0.7682733253465358,0.459588,-3.034931705,0.356222086,0.035850928,1.224662245
0,2.780542123748044,1,0.293307263,0.8155531992367018,0.417226428,-3.091587436,1.230766153,-1.526943108,1.940482125
0,2.2421272684145674,1,0.33720765,0.7560624669849674,0.481728527,1.647192659,0.130355711,0.852654499,-0.383008837
0,2.2789760553315057,1,0.337615131,0.7694167995112454,0.468470092,1.691177769,0.377373127,0.36352717,-0.223990522
0,2.312702477694241,1,0.335470206,0.7758427772079702,0.476018147,1.459646171,0.496235556,0.641988404,-0.078446548
0,2.566431898328655,1,0.306974309,0.7878286577707776,0.449575272,-1.616312855,0.717940478,-0.333536487,1.016504696
0,2.3531446108886125,1,0.33905005,0.7978337986498821,0.484642845,1.846068586,0.903007313,0.960168908,0.096078597
